# ========================================================================
# HIPPO-2019 Force Field Type Assignment Database
# ========================================================================
# SMARTS patterns mapping molecular substructures to HIPPO types/classes
# 
# Format: [SMARTS]  type_number  class_number  short_name  # Description
#
# Source annotations:
#   [V] = Validated from AMOEBA+ database (exact or close match)
#   [A] = Adapted from AMOEBA+ pattern for HIPPO
#   [N] = New pattern created from HIPPO description
#
# Total: 186 atom types → 104 unique classes
# Reference: /home/esingh41/gits/Tinker/params/hippo19.prm
# AMOEBA+ Reference: dat/amoebaplusNonbondedType.dat
# ========================================================================

[$([CH3X4])]                                         1     1   T1       # Pentane CH3 [A] Terminal CH3
[$([H][CH3X4])]                                      2     2   T2       # Pentane H3C [A] H on CH3
[$([CH2X4])]                                         3     3   T3       # Pentane CH2-CH3 [A] CH2
[$([H][CH2X4])]                                      4     4   T4       # Pentane H2C-CH3 [A] H on CH2
[$([CH2X4])]                                         5     3   T5       # Pentane Middle -CH2- [A] CH2
[$([H][CH2X4])]                                      6     4   T6       # Pentane Middle H2C< [A] H on CH2
[$([CH3X4])]                                         7     1   T7       # Neopentane CH3 [A] Terminal CH3
[$([H][CH3X4])]                                      8     2   T8       # Neopentane H3C [A] H on CH3
[$([CX4H0]([CH3])([CH3])([CH3]))]                    9     5   T9       # Neopentane >C< [N] Quaternary C with 3+ methyls
[$([CH2;r5])]                                       10     3   T10      # Cyclopentane -CH2- [V] CH2 in 5-ring
[$([H][CH2;r5])]                                    11     4   T11      # Cyclopentane H2C< [A] H on CH2 in 5-ring
[$([CX3]=[CX3])]                                    12     6   T12      # Ethene >C= [V] C in C=C
[$([H][CX3]=[C])]                                   13     7   T13      # Ethene HC= [A] H on C=C
[$([c;r6])]                                         14     8   T14      # Benzene C [V] Aromatic C in benzene
[$([H][c;r6])]                                      15     9   T15      # Benzene H [A] H on aromatic C
[$([OX2H2])]                                        16    10   T16      # Water O [V] From AMOEBA+ OW
[$([H][OX2H2])]                                     17    11   T17      # Water H [V] From AMOEBA+ HW
[$([OX2H1][CH3])]                                   18    12   T18      # Methanol O [V] O in methanol
[$([H][OX2H1][CH3])]                                19    13   T19      # Methanol HO [A] HO in methanol
[$([CH3][OX2H1])]                                   20    14   T20      # Methanol CH3 [A] CH3 in methanol
[$([H][CH3][OX2H1])]                                21    15   T21      # Methanol H3C [A] H on CH3-OH
[$([OX2H1][c;r6])]                                  22    16   T22      # Phenol OH [A] OH on phenol
[$([H][OX2H1][c;r6])]                               23    17   T23      # Phenol HO [A] HO in phenol
[$([c;r6][OX2H1])]                                  24     8   T24      # Phenol C1-OH [A] C-OH in phenol
[$([c;r6])]                                         25     8   T25      # Phenol C2 [A] Aromatic C in phenol
[$([c;r6])]                                         26     8   T26      # Phenol C3 [A] Aromatic C in phenol
[$([c;r6])]                                         27     8   T27      # Phenol C4 [A] Aromatic C in phenol
[$([H][c;r6])]                                      28     9   T28      # Phenol H2 [A] H on aromatic C
[$([H][c;r6])]                                      29     9   T29      # Phenol H3 [A] H on aromatic C
